mapping,t_fft_l,t_fft_r,t_filter_l,t_filter_r,t_ifft_l,t_ifft_r,t_sink,t_src,executionTime,totalEnergy,original_mapping,edp
0,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,19.32460000000001,3.879041720106747,0,74.96092962437488
1,ARM00,ARM00,ARM00,ARM00,ARM01,ARM01,ARM01,ARM00,9.922400000000003,4.0828528517318885,51,40.511699136024504
2,ARM00,ARM00,ARM00,ARM04,ARM00,ARM04,ARM00,ARM00,15.008999999999995,6.0460136268695726,683,90.74461852568538
3,ARM00,ARM00,ARM04,ARM04,ARM00,ARM00,ARM00,ARM00,19.093400000000006,4.653927100173879,3198,88.85929169445997
4,ARM00,ARM01,ARM00,ARM02,ARM02,ARM03,ARM03,ARM00,5.653599999999999,4.375188280525027,5806,24.73556446277629
5,ARM00,ARM01,ARM01,ARM01,ARM02,ARM00,ARM02,ARM02,8.231600000000002,4.190929838390159,7850,34.49805805769244
6,ARM00,ARM01,ARM02,ARM03,ARM02,ARM03,ARM04,ARM00,5.494999999999999,5.7354664801874105,12666,31.516388308629814
7,ARM00,ARM01,ARM02,ARM04,ARM04,ARM04,ARM02,ARM00,5.3184000000000005,8.566454413567248,14185,45.55983115311606
8,ARM00,ARM01,ARM04,ARM00,ARM00,ARM05,ARM01,ARM01,8.8272,6.546294906760237,14749,57.78545440095396
9,ARM00,ARM01,ARM04,ARM01,ARM00,ARM01,ARM00,ARM01,9.751,4.5586034606428285,15607,44.45094234472822
10,ARM00,ARM01,ARM04,ARM02,ARM04,ARM02,ARM03,ARM00,5.410399999999997,6.748393945132103,17566,36.51151060074272
11,ARM00,ARM01,ARM04,ARM04,ARM02,ARM04,ARM02,ARM00,5.606800000000002,7.291626614550996,18545,40.88269210246453
12,ARM00,ARM01,ARM04,ARM04,ARM04,ARM04,ARM04,ARM00,5.302200000000002,10.175115270250345,18727,53.950496185921395
13,ARM00,ARM04,ARM00,ARM04,ARM00,ARM04,ARM05,ARM00,9.742000000000004,9.404018952300326,22269,91.61395263330982
14,ARM00,ARM04,ARM00,ARM04,ARM05,ARM01,ARM01,ARM00,5.6549999999999985,8.98764253258667,22580,50.8251185217776
15,ARM00,ARM04,ARM04,ARM00,ARM01,ARM04,ARM01,ARM00,5.6704,9.049266817315788,29984,51.312962560907444
16,ARM00,ARM04,ARM04,ARM00,ARM04,ARM00,ARM00,ARM00,11.038799999999998,8.030797058680646,30044,88.6503625713639
17,ARM00,ARM04,ARM04,ARM04,ARM04,ARM04,ARM00,ARM00,6.571999999999999,10.741588375054928,31536,70.59371880086097
18,ARM00,ARM04,ARM04,ARM05,ARM04,ARM05,ARM05,ARM00,5.317,11.974945411986115,32253,63.67078475553017
19,ARM00,ARM04,ARM05,ARM05,ARM00,ARM05,ARM00,ARM00,10.912800000000002,8.155507265233519,36430,88.99941968404036
20,ARM04,ARM04,ARM00,ARM00,ARM00,ARM04,ARM00,ARM04,6.4822000000000015,11.940994874578836,38879,77.40391697599495
21,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,9.735600000000003,14.743259788409256,41657,143.5344799960372
22,ARM04,ARM04,ARM05,ARM06,ARM06,ARM05,ARM05,ARM04,4.819000000000003,15.097038775749954,43106,72.75262986033907
23,ARM04,ARM05,ARM00,ARM00,ARM04,ARM05,ARM00,ARM00,3.965600000000001,12.94215716632255,43813,51.32341845876872
24,ARM04,ARM05,ARM00,ARM01,ARM04,ARM05,ARM01,ARM00,3.8846,12.789423977012179,45306,49.681796381101506
25,ARM04,ARM05,ARM00,ARM06,ARM06,ARM04,ARM06,ARM05,3.6404,15.457391520062153,49098,56.27108808963426
26,ARM04,ARM05,ARM00,ARM06,ARM06,ARM05,ARM00,ARM04,3.692799999999999,14.440513199930685,49109,53.32592714470402
27,ARM04,ARM05,ARM04,ARM00,ARM05,ARM06,ARM01,ARM00,3.5924,12.944736144077131,50142,46.50267012398269
28,ARM04,ARM05,ARM04,ARM05,ARM06,ARM07,ARM00,ARM00,3.2426000000000004,13.210499988278466,51332,42.83636726199176
29,ARM04,ARM05,ARM04,ARM06,ARM06,ARM07,ARM07,ARM05,3.3100000000000005,15.630491595312574,52013,51.73692718048463
30,ARM04,ARM05,ARM05,ARM04,ARM04,ARM05,ARM05,ARM04,5.0992000000000015,15.320232458204016,53323,78.12092935087394
31,ARM04,ARM05,ARM05,ARM05,ARM04,ARM06,ARM00,ARM00,3.7576000000000014,13.049266667346638,53806,49.03392442922174
32,ARM04,ARM05,ARM06,ARM04,ARM06,ARM05,ARM06,ARM04,3.686600000000001,15.631921197943573,56997,57.62864068833879
33,ARM04,ARM05,ARM06,ARM04,ARM07,ARM06,ARM04,ARM05,4.553000000000001,15.201411973146177,57155,69.21202871373455
34,ARM04,ARM05,ARM06,ARM07,ARM06,ARM07,ARM00,ARM01,3.1698000000000004,13.264778412769306,59430,42.04669461279615
35,ARM04,ARM05,ARM06,ARM07,ARM06,ARM07,ARM00,ARM04,3.1472,14.31527061129476,59431,45.05301966786687
